fund,fund_code,fund_name,snapshot_date,instrument,currency,weight,source_url,raw_file,raw_sha256,captured_at_utc
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,CIENA CORP,USD,3.21,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,AXT INC,USD,2.98,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,ONTO INNOVATION,USD,2.77,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,CAMTEK LTD,USD,2.73,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,CREDO TECHNOLOGY GROUP HOLDI,USD,2.63,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,META PLATFORMS-A,USD,2.33,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,BWX TECHNOLOGIES,USD,2.3,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,MKS INC,USD,2.26,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,VERTIV HOLDINGS,USD,2.14,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,AMPHENOL CORP,USD,1.99,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
