fund,fund_code,snapshot_date,source_url,raw_file,raw_sha256,status,num_holdings,total_weight,captured_at_utc
easybalanced,EASYBF,2026-05-11,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260511.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260511.csv,bd5c51e9e9047d9c4320c7acf5841e16cc165c467ded05e2703a62e5815d32e4,new,32,99.74,2026-05-11T08:36:46Z
easybalanced,EASYBF,2026-05-12,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260512.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260512.csv,8a417b835412ba7674417d00a47eecae4c6d86c74b59342ec37a01b8aacd1b31,new,32,99.83,2026-05-12T07:43:30Z
easybalanced,EASYBF,2026-05-13,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260513.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260513.csv,48eea4ca8498ca3f591b8797436f57ef4181195b0d45081dc377e2e6c287578e,new,32,99.67,2026-05-13T11:37:32Z
easybalanced,EASYBF,2026-05-14,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260514.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260514.csv,6476273d965d4c4167b59af8a74d5eba7b47f5a5258aa40244b9ab033ec04d32,new,32,99.74,2026-05-14T09:33:37Z
easybalanced,EASYBF,2026-05-15,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260515.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260515.csv,4d7db3a221d1d8df8732bc6d57541adf8a1e966840728b5bb5f262ef27313798,new,32,99.73,2026-05-15T11:30:25Z
easybalanced,EASYBF,2026-05-18,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260518.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260518.csv,04a216a31c085f96d93334db64c956a4f68d1b65bce9f771f7958cd751b6c7f2,new,32,99.72,2026-05-18T12:48:40Z
easybalanced,EASYBF,2026-05-19,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260519.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260519.csv,b8678e0c223050814b8d88e3043de902a88ce9a3dc3796d63e09919acf5326d0,new,32,99.81,2026-05-19T12:21:34Z
easybalanced,EASYBF,2026-05-20,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260520.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260520.csv,99355b7df6305e2e29fd7b2e51e09224cc2d22a361314a1815baa0ff7088fec7,new,35,99.77,2026-05-20T12:04:11Z
easybalanced,EASYBF,2026-05-22,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260522.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260522.csv,c9891961b7ad299b66d54e2722542ddb9ec0da840db61bdad49fcb0d6c950e35,new,29,99.78,2026-05-22T12:01:33Z
easybalanced,EASYBF,2026-05-25,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260525.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260525.csv,a02a07e82e46dd6896f53689e19dd1571a4ee75b65bbfa399c2df25ab102ed8c,new,29,99.65,2026-05-25T16:32:02Z
